"'Manilkara hexandra'","19.35","0","plot11"
"'Manilkara hexandra'","35.23","0","plot11"
"'Manilkara hexandra'","21.13","0","plot11"
"'Memecylon umbellatum'","12.61","0","plot11"
"'Morinda coreia'","27.32","0","plot11"
"'Pongamia pinnata'","10.00","0","plot11"
"'Pterospermum canescens'","34.37","0","plot11"
"'Syzgium cumini'","60.15","0","plot11"
"'Tectona grandis'","14.04","0","plot11"
"'Tectona grandis'","39.40","0","plot11"
"'Tectona grandis'","23.51","0","plot11"
"'Tectona grandis'","51.79","0","plot11"
"'Terminalia arjuna'","28.86","0","plot11"
"'Terminalia catappa'","68.86","0","plot11"
"'Walsura trifoliata'","37.82","0","plot11"
"'Ziziphus oenoplia'","15.00","0","plot11"
"'Acacia chundra'","53.24","0","plot12"
"'Acacia holosericea'","6.80","0","plot12"
"'Acacia holosericea'","8.75","0","plot12"
"'Acacia holosericea'","9.30","0","plot12"
"'Acacia holosericea'","9.00","0","plot12"
"'Acacia holosericea'","10.00","0","plot12"
"'Acacia mangium'","14.22","0","plot12"
"'Adenanthera pavonina'","9.00","0","plot12"
"'Adenanthera pavonina'","27.00","0","plot12"
"'Azadirachta indica'","8.50","0","plot12"
"'Azadirachta indica'","15.00","0","plot12"
"'Benkara malabarica'","5.00","0","plot12"
"'Bridelia retusa'","18.44","0","plot12"
"'Canthium coromandelicum'","8.12","0","plot12"
"'Carmona retusa'","12.83","0","plot12"
"'Carmona retusa'","17.55","0","plot12"
"'Dodonaea angustifolia'","10.32","0","plot12"
"'Dodonaea angustifolia'","9.64","0","plot12"
"'Hardwickia binata'","8.50","0","plot12"
"'Hardwickia binata'","45.00","0","plot12"
"'Hardwickia binata'","48.00","0","plot12"
"'Hardwickia binata'","49.00","0","plot12"
"'Hardwickia binata'","50.50","0","plot12"
"'Hardwickia binata'","57.00","0","plot12"
"'Hardwickia binata'","79.93","0","plot12"
"'Hardwickia binata'","77.10","0","plot12"
"'Madhuca longifolia'","19.00","0","plot12"
"'Mangifera indica'","15.23","0","plot12"
"'Memecylon umbellatum'","23.07","0","plot12"
"'Memecylon umbellatum'","21.84","0","plot12"
"'Morinda coreia'","11.66","0","plot12"
"'Morinda coreia'","12.81","0","plot12"
"'Morinda coreia'","15.00","0","plot12"
"'Morinda coreia'","27.20","0","plot12"
"'Morinda coreia'","42.10","0","plot12"
"'Pterocarpus santalinus'","26.00","0","plot12"
"'Pterocarpus santalinus'","47.64","0","plot12"
"'Pterocarpus santalinus'","31.50","0","plot12"
"'Pterocarpus santalinus'","51.00","0","plot12"
"'Syzgium cumini'","29.07","0","plot12"
"'Syzgium cumini'","41.16","0","plot12"
"'Syzgium cumini'","35.74","0","plot12"
"'Terminalia bellerica'","11.00","0","plot12"
"'Terminalia bellerica'","12.50","0","plot12"
"'Walsura trifoliata'","15.38","0","plot12"
"'Acacia auriculiformis'","23.15","0","plot13"
"'Acacia auriculiformis'","10.00","0","plot13"
"'Acacia auriculiformis'","10.50","0","plot13"
"'Acacia auriculiformis'","12.00","0","plot13"
"'Acacia auriculiformis'","14.00","0","plot13"
"'Acacia auriculiformis'","22.84","0","plot13"
"'Acacia auriculiformis'","26.91","0","plot13"
"'Acacia auriculiformis'","20.00","0","plot13"
"'Acacia auriculiformis'","22.00","0","plot13"
"'Acacia holosericea'","6.71","0","plot13"
"'Acacia holosericea'","7.81","0","plot13"
"'Acacia holosericea'","10.49","0","plot13"
"'Acacia holosericea'","9.22","0","plot13"
"'Acacia holosericea'","11.00","0","plot13"
"'Acacia mangium'","13.46","0","plot13"
"'Acacia mangium'","12.50","0","plot13"
"'Acacia mangium'","10.50","0","plot13"
"'Adenanthera pavonina'","18.45","0","plot13"
"'Adenanthera pavonina'","14.00","0","plot13"
"'Adenanthera pavonina'","26.00","0","plot13"
"'Adenanthera pavonina'","60.59","0","plot13"
"'Azadirachta indica'","10.31","0","plot13"
"'Azadirachta indica'","13.45","0","plot13"
"'Azadirachta indica'","14.87","0","plot13"
"'Azadirachta indica'","13.00","0","plot13"
"'Azadirachta indica'","25.00","0","plot13"
"'Azadirachta indica'","52.00","0","plot13"
"'Canthium coromandelicum'","8.60","0","plot13"
"'Canthium coromandelicum'","9.00","0","plot13"
"'Canthium coromandelicum'","18.87","0","plot13"
"'Cochlospermum religiosa'","15.00","0","plot13"
"'Dodonaea angustifolia'","9.55","0","plot13"
"'Dodonaea angustifolia'","8.60","0","plot13"
"'Helictes isora'","9.82","0","plot13"
"'Ixora pavetta'","17.00","0","plot13"
"'Madhuca longifolia'","11.92","0","plot13"
"'Manilkara hexandra'","35.41","0","plot13"
"'Manilkara hexandra'","44.27","0","plot13"
"'Memecylon umbellatum'","20.83","0","plot13"
"'Morinda coreia'","17.00","0","plot13"
"'Morinda coreia'","21.63","0","plot13"
"'Morinda coreia'","61.00","0","plot13"
"'Pterocarpus santalinus'","8.50","0","plot13"
"'Pterocarpus santalinus'","9.00","0","plot13"
"'Pterocarpus santalinus'","10.00","0","plot13"
"'Pterocarpus santalinus'","11.00","0","plot13"
"'Pterocarpus santalinus'","13.04","0","plot13"
"'Pterocarpus santalinus'","11.50","0","plot13"
"'Pterocarpus santalinus'","12.00","0","plot13"
"'Pterocarpus santalinus'","12.50","0","plot13"
"'Pterocarpus santalinus'","13.00","0","plot13"
"'Pterocarpus santalinus'","14.00","0","plot13"
"'Pterocarpus santalinus'","14.50","0","plot13"
"'Pterocarpus santalinus'","15.00","0","plot13"
"'Pterocarpus santalinus'","15.50","0","plot13"
"'Pterocarpus santalinus'","16.00","0","plot13"
"'Pterocarpus santalinus'","16.50","0","plot13"
"'Pterocarpus santalinus'","17.00","0","plot13"
"'Pterocarpus santalinus'","21.50","0","plot13"
"'Pterocarpus santalinus'","22.00","0","plot13"
"'Pterocarpus santalinus'","26.00","0","plot13"
"'Pterocarpus santalinus'","36.00","0","plot13"
"'Pterocarpus santalinus'","43.00","0","plot13"
"'Pterocarpus santalinus'","69.50","0","plot13"
"'Pterocarpus santalinus'","160.57","0","plot13"
"'Pterocarpus santalinus'","82.00","0","plot13"
"'Walsura trifoliata'","24.04","0","plot13"
"'Acacia auriculiformis'","10.84","0","plot14"
"'Acacia auriculiformis'","8.00","0","plot14"
"'Acacia auriculiformis'","15.04","0","plot14"
"'Acacia holosericea'","7.78","0","plot14"
"'Acacia mangium'","12.50","0","plot14"
"'Adenanthera pavonina'","26.21","0","plot14"
"'Adenanthera pavonina'","57.88","0","plot14"
"'Adenanthera pavonina'","55.99","0","plot14"
"'Adenanthera pavonina'","70.89","0","plot14"
"'Albizia lebbeck'","10.50","0","plot14"
"'Azadirachta indica'","8.14","0","plot14"
"'Bridelia retusa'","8.00","0","plot14"
"'Bridelia retusa'","9.00","0","plot14"
"'Bridelia retusa'","10.50","0","plot14"
"'Butea monosperma'","19.53","0","plot14"
"'Butea monosperma'","26.87","0","plot14"
"'Cochlospermum religiosa'","44.55","0","plot14"
"'Cochlospermum religiosa'","39.39","0","plot14"
"'Diospyros montana'","28.00","0","plot14"
"'Diospyros montana'","42.00","0","plot14"
"'Hardwickia binata'","17.00","0","plot14"
"'Hardwickia binata'","32.00","0","plot14"
"'Hardwickia binata'","33.00","0","plot14"
"'Hardwickia binata'","51.00","0","plot14"
"'Hardwickia binata'","60.00","0","plot14"
"'Hardwickia binata'","61.00","0","plot14"
"'Madhuca longifolia'","17.00","0","plot14"
"'Manilkara hexandra'","23.26","0","plot14"
"'Manilkara hexandra'","36.72","0","plot14"
"'Memecylon umbellatum'","5.00","0","plot14"
"'Memecylon umbellatum'","11.45","0","plot14"
"'Memecylon umbellatum'","15.97","0","plot14"
"'Memecylon umbellatum'","14.32","0","plot14"
"'Memecylon umbellatum'","12.21","0","plot14"
"'Memecylon umbellatum'","31.86","0","plot14"
"'Memecylon umbellatum'","28.35","0","plot14"
"'Memecylon umbellatum'","26.91","0","plot14"
"'Mimusops elengi'","24.50","0","plot14"
"'Mimusops elengi'","18.00","0","plot14"
"'Morinda coreia'","21.10","0","plot14"
"'Morinda coreia'","15.00","0","plot14"
